"代號","名稱","公佈日","配股價 / 溢價(折讓)","新股比例","現價 / 溢價(折讓)","配售代理","授權方式","配售方式","完成配售日期","狀態"
08305.hk,聖唐控股,20/11/24,0.055 / (9.84%),20.0%,0.285 / 418.18%,粵商,普通授權,新股,10/12/24,已完成
08367.hk,倩碧控股,18/11/24,0.017 / (19.05%),20.0%,0.27 / 1488.24%,昌利,普通授權,新股,17/12/24,已完成
02147.hk,正味集團,18/11/24,0.038 / (19.15%),16.67%,0.036 / (5.26%),中國北方,普通授權,新股,未公佈,配股中
08516.hk,廣駿集團控股,15/11/24,0.12 / 0.0%,20.0%,0.12 / 0.0%,鼎石,普通授權,新股,10/12/24,已完成
08187.hk,積木集團,15/11/24,1.16 / (17.1%),14.3%,0.49 / (57.76%),-,普通授權,新股,-,已取消
08107.hk,細葉榕科技,13/11/24,0.6 / (11.76%),10.0%,0.265 / (55.83%),寶新,普通授權,新股,03/01/25,已完成
00653.hk,卓悅控股,12/11/24,0.158 / 0.0%,88.34%,0.103 / (34.81%),-,特別授權,新股,未公佈,配股中
01380.hk,中國金石,11/11/24,0.2 / 72.41%,18.61%,0.172 / (14.0%),-,普通授權,新股,13/11/24,已完成
08238.hk,惠陶集團,08/11/24,0.035 / (18.6%),20.0%,0.206 / 488.57%,宏智,普通授權,新股,03/12/24,已完成
08178.hk,中國信息科技,07/11/24,6.31 / 40.22%,16.86%,2.75 / (56.42%),-,普通授權,新股,未公佈,配股中
08282.hk,智傲控股,06/11/24,0.55 / (12.14%),5.56%,0.5 / (9.09%),創陞,普通授權,新股,26/11/24,已完成
01613.hk,協同通信,05/11/24,0.28 / (12.5%),19.8%,0.255 / (8.93%),-,普通授權,新股,29/11/24,已完成
08431.hk,浩柏國際,05/11/24,0.032 / (8.57%),19.999%,0.225 / 603.12%,-,普通授權,新股,12/11/24,已完成
00464.hk,中國智能科技,04/11/24,0.1 / (18.03%),11.25%,0.485 / 385.0%,-,普通授權,新股,19/11/24,已完成
00264.hk,中聯發展控股,04/11/24,1.02 / (19.05%),9.69%,1.44 / 41.18%,-,普通授權,新股,21/11/24,已完成
01628.hk,禹洲集團,01/11/24,2.127 / 1449.25%,86.26%,0.042 / (98.03%),-,特別授權,新股,未公佈,配股中
00167.hk,IDT INT'L,01/11/24,0.6 / (44.4%),900.0%,1.45 / 141.67%,-,特別授權,新股,未公佈,配股中
01632.hk,民商創科,30/10/24,0.5 / 69.49%,6.72%,0.187 / (62.6%),-,普通授權,新股,18/11/24,已完成
09608.hk,宋都服務,30/10/24,0.0833 / (19.9%),20.0%,0.103 / 23.65%,-,普通授權,新股,未公佈,配股中
00328.hk,ALCO HOLDINGS,28/10/24,3.49 / (19.77%),20.0%,0.365 / (89.54%),宏智,普通授權,新股,20/11/24,已完成
00145.hk,信能低碳,25/10/24,0.138 / (9.21%),20.0%,0.17 / 23.19%,中泰國際,普通授權,新股,19/11/24,已完成
08510.hk,TOPSTANDARDCORP,25/10/24,0.1 / 38.9%,20.0%,0.079 / (21.0%),-,普通授權,新股,未公佈,配股中
08337.hk,直通電訊,24/10/24,0.2 / 138.1%,32.45%,0.116 / (42.0%),-,特別授權,新股,13/12/24,已完成
09880.hk,優必選,23/10/24,86.18 / (19.98%),1.21%,84.05 / (2.47%),國泰君安 & 中信里昂 & TradeGo Markets,普通授權,新股,29/10/24,已完成
00836.hk,華潤電力,23/10/24,19.7 / (5.06%),4.13%,19.42 / (1.42%),-,普通授權,新股,30/10/24,已完成
00836.hk,華潤電力,23/10/24,19.7 / (5.06%),3.49%,19.42 / (1.42%),美林,特別授權,新股,16/12/24,已完成
00204.hk,資本界金控,23/10/24,0.237 / 7.73%,20.0%,0.047 / (80.17%),鼎石 & 瑞森港通,普通授權,新股,14/11/24,已完成
08360.hk,簡樸新生活,22/10/24,0.56 / 0.0%,3.97%,0.42 / (25.0%),-,普通授權,新股 - 代價發行,未公佈,配股中
02051.hk,５１信用卡,21/10/24,0.146 / (14.12%),20.0%,0.4 / 173.97%,力高,普通授權,新股,13/11/24,已完成
08370.hk,智昇集團控股,21/10/24,0.3 / (60.53%),36.37%,5.2 / 1633.33%,-,特別授權,新股,20/12/24,已完成
08403.hk,天平道合,21/10/24,1.0 / 21.95%,2.42%,1.54 / 54.0%,-,普通授權,新股,31/10/24,已完成
01725.hk,洲際航天科技,18/10/24,1.23 / (18.54%),16.54%,0.78 / (36.59%),-,普通授權,新股,08/11/24,已完成
01918.hk,融創中國,17/10/24,2.465 / (19.97%),5.6%,1.63 / (33.87%),中金,普通授權,先舊後新,未公佈,配股中
06128.hk,烯石電車新材料,17/10/24,0.066 / (13.16%),18.78%,0.208 / 215.15%,昌利,普通授權,新股,08/11/24,已完成
08137.hk,洪橋集團,17/10/24,0.08 / (75.0%),2.03%,0.54 / 575.0%,-,特別授權,新股,27/03/25,已完成
09885.hk,藥師幫,15/10/24,12.0 / 63.04%,8.74%,9.38 / (21.83%),-,普通授權,新股 - 代價發行,未公佈,配股中
01520.hk,天機控股,13/10/24,0.1 / 13.64%,4.01%,0.87 / 770.0%,-,特別授權,新股,12/12/24,已完成
00302.hk,中手游,13/10/24,0.9 / (1.1%),3.71%,0.485 / (46.11%),-,普通授權,新股,22/10/24,已完成
09926.hk,康方生物,13/10/24,61.28 / (4.99%),3.66%,138.8 / 126.5%,摩根士丹利,普通授權,新股,21/10/24,已完成
08029.hk,帝國金融集團,10/10/24,0.06 / (6.25%),20.0%,0.61 / 916.67%,華通,普通授權,新股,-,已取消
08367.hk,倩碧控股,10/10/24,0.024 / (17.24%),20.0%,0.27 / 1025.0%,昌利,普通授權,新股,-,已取消
06878.hk,鼎豐集團汽車,09/10/24,1.1 / (38.2%),43.9%,0.037 / (96.64%),大灣區深港 & 富中,特別授權,新股,未公佈,配股中
01536.hk,煜榮集團,09/10/24,0.085 / (18.27%),20.0%,0.092 / 8.24%,金利豐,普通授權,新股,30/10/24,已完成
08475.hk,易站綠色科技,09/10/24,0.315 / 14.55%,13.32%,0.069 / (78.1%),-,普通授權,新股,未公佈,配股中
02322.hk,新質數字,08/10/24,0.78 / (16.13%),15.29%,0.405 / (48.08%),昌利 & 鼎石 & 元庫 & 東吳,普通授權,新股,-,已取消
