"代號","名稱","公佈日","配股價 / 溢價(折讓)","新股比例","現價 / 溢價(折讓)","配售代理","授權方式","配售方式","完成配售日期","狀態"
00399.hk,領航醫藥生物科技,16/07/25,0.312 / (20.0%),4.5%,0.395 / 26.6%,-,普通授權,新股,未公佈,配股中
00917.hk,趣致集團,16/07/25,106.6 / (17.04%),1.14%,112.9 / 5.91%,海通國際,普通授權,新股,未公佈,配股中
09636.hk,九方智投控股,16/07/25,39.25 / (6.0%),4.46%,44.8 / 14.14%,華泰金融 & 招銀國際 & 華盛資本,普通授權,先舊後新,未公佈,配股中
00254.hk,國家聯合資源,16/07/25,0.4 / (4.76%),28.49%,0.041 / (89.75%),-,特別授權,新股,未公佈,配股中
02586.hk,多點數智,16/07/25,11.1 / (10.0%),3.93%,11.86 / 6.85%,-,普通授權,先舊後新,未公佈,配股中
00815.hk,中國白銀集團,15/07/25,0.45 / (1.32%),19.64%,0.495 / 10.0%,-,普通授權,新股,未公佈,配股中
06855.hk,亞盛醫藥－Ｂ,15/07/25,68.6 / (8.17%),6.29%,77.8 / 13.41%,摩根士丹利 & 花旗,普通授權,先舊後新,未公佈,配股中
02432.hk,越疆,15/07/25,54.3 / (9.5%),4.73%,59.4 / 9.39%,瑞士銀行 & 國泰君安,普通授權,新股,未公佈,配股中
01520.hk,天機控股,15/07/25,0.52 / (18.75%),20.0%,0.87 / 67.31%,萬海,普通授權,新股,未公佈,配股中
01520.hk,天機控股,14/07/25,0.4 / (33.33%),4.73%,0.87 / 117.5%,-,特別授權,新股 - 代價發行,未公佈,配股中
08198.hk,加幂科技,14/07/25,2.0 / (14.5%),4.2%,3.09 / 54.5%,力高,普通授權,新股,未公佈,配股中
02159.hk,麥迪衛康,14/07/25,0.55 / (6.78%),16.67%,1.07 / 94.55%,萬海,普通授權,新股,未公佈,配股中
08283.hk,中食民安,14/07/25,0.6 / (17.81%),20.0%,0.94 / 56.67%,中國北方,普通授權,新股,未公佈,配股中
02225.hk,今海醫療科技,13/07/25,1.35 / (17.68%),2.32%,1.86 / 37.78%,-,普通授權,新股,未公佈,配股中
02598.hk,連連數字,13/07/25,10.25 / (10.09%),9.17%,14.14 / 37.95%,中國國際金融 & 德意志,普通授權,新股,未公佈,配股中
01274.hk,知行科技,13/07/25,15.22 / (8.97%),6.4%,16.22 / 6.57%,-,普通授權,新股,未公佈,配股中
06696.hk,多想雲,11/07/25,0.6 / (15.49%),20.0%,0.73 / 21.67%,-,普通授權,新股,未公佈,配股中
00329.hk,東建國際,11/07/25,0.28 / (18.84%),20.0%,0.47 / 67.86%,凱基,普通授權,新股,未公佈,配股中
08275.hk,中國新消費集團,10/07/25,0.11 / (14.73%),13.33%,0.157 / 42.73%,軟庫中華,普通授權,新股,未公佈,配股中
00620.hk,大唐西市,09/07/25,0.5 / 28.21%,10.0%,0.52 / 4.0%,昌利,普通授權,新股,未公佈,配股中
02616.hk,基石藥業－Ｂ,09/07/25,4.72 / (8.88%),7.33%,6.07 / 28.6%,摩根士丹利,普通授權,新股,16/07/25,已完成
08030.hk,豐銀禾控股,09/07/25,2.35 / (19.0%),3.0%,3.03 / 28.94%,-,普通授權,新股 - 代價發行,未公佈,配股中
00959.hk,世紀娛樂國際,09/07/25,0.62 / (13.89%),20.0%,0.72 / 16.13%,-,普通授權,新股,未公佈,配股中
01091.hk,南方錳業,08/07/25,0.224 / (18.55%),20.0%,0.3 / 33.93%,信誠,普通授權,新股,未公佈,配股中
00243.hk,QPL INT'L,08/07/25,0.16 / (14.44%),20.0%,0.29 / 81.25%,新確,普通授權,新股,未公佈,配股中
00809.hk,大成生化科技,08/07/25,0.12 / 36.36%,31.06%,0.089 / (25.83%),-,特別授權,新股 - 代價發行,未公佈,配股中
00994.hk,中天順聯,08/07/25,0.36 / 133.77%,12.93%,0.202 / (43.89%),-,特別授權,新股,未公佈,配股中
02157.hk,樂普生物－Ｂ,04/07/25,5.02 / (10.99%),5.66%,5.79 / 15.34%,中信 & 匯豐,普通授權,新股,11/07/25,已完成
01918.hk,融創中國,04/07/25,8.05 / 440.3%,7.04%,1.63 / (79.75%),-,普通授權,新股,未公佈,配股中
01159.hk,智數科技集團,04/07/25,1.69 / (19.52%),19.96%,3.82 / 126.04%,路華,普通授權,新股,未公佈,配股中
00381.hk,權識國際,04/07/25,0.4309 / (11.15%),19.99%,0.57 / 32.28%,-,普通授權,新股,未公佈,配股中
02431.hk,佑駕創新,03/07/25,23.26 / (14.8%),1.7%,24.3 / 4.47%,中信,普通授權,新股,09/07/25,已完成
02503.hk,中深建業,02/07/25,0.6 / (15.49%),20.0%,1.85 / 208.33%,-,普通授權,新股,未公佈,配股中
08635.hk,大象控股集團,02/07/25,0.431 / (12.93%),20.0%,0.59 / 36.89%,亞太,普通授權,新股,未公佈,配股中
09986.hk,大山教育,30/06/25,1.23 / (19.61%),5.0%,1.48 / 20.33%,華升 ,普通授權,新股,未公佈,配股中
01942.hk,馬可數字科技,30/06/25,0.5285 / (19.92%),20.0%,0.55 / 4.07%,華通,普通授權,新股,未公佈,配股中
01611.hk,新火科技控股,29/06/25,1.66 / (29.66%),28.34%,5.4 / 225.3%,-,特別授權,新股,未公佈,配股中
02562.hk,獅騰控股,27/06/25,15.8 / (19.96%),2.08%,22.9 / 44.94%,海通國際 & 大華繼顯 & 太陽 & 智易東方,普通授權,先舊後新,04/07/25,已完成
00582.hk,神話世界,27/06/25,0.118 / (18.62%),20.0%,0.154 / 30.51%,中富,普通授權,新股,15/07/25,已完成
02511.hk,君聖泰醫藥－Ｂ,26/06/25,2.21 / (15.0%),11.66%,3.57 / 61.54%,國信 & 國證國際 & 一盈,普通授權,新股,07/07/25,已完成
01801.hk,信達生物,26/06/25,78.36 / (4.9%),3.33%,90.0 / 14.85%,高盛 & 摩根士丹利,普通授權,新股,04/07/25,已完成
06936.hk,順豐控股,26/06/25,42.15 / (8.8%),41.2%,42.85 / 1.66%,華泰 & 高盛,普通授權,新股,04/07/25,已完成
06060.hk,眾安在綫,26/06/25,18.25 / (8.5%),15.14%,18.2 / (0.27%),摩根大通 & 中國國際金融 & 摩根士丹利,普通授權,新股,04/07/25,已完成
08172.hk,拉近網娛,26/06/25,0.241 / (19.67%),20.0%,0.29 / 20.33%,聯合,普通授權,新股,未公佈,配股中
08087.hk,中國三三傳媒,26/06/25,0.7 / (12.5%),20.0%,5.86 / 737.14%,新確,普通授權,新股,14/07/25,已完成
02012.hk,陽光油砂,25/06/25,0.64 / 0.0%,17.6%,0.5 / (21.88%),-,普通授權,新股,未公佈,配股中
08017.hk,捷利交易寶,24/06/25,0.63 / (14.86%),13.33%,1.16 / 84.13%,國泰君安,普通授權,新股,07/07/25,已完成
01380.hk,中國金石,24/06/25,0.17 / (9.09%),4.2%,0.172 / 1.18%,-,普通授權,新股,02/07/25,已完成
08191.hk,鴻偉亞洲,24/06/25,0.151 / (19.68%),20.0%,0.217 / 43.71%,-,普通授權,新股,11/07/25,已完成
01909.hk,火岩控股,24/06/25,1.87 / 2.2%,20.0%,2.05 / 9.63%,-,普通授權,新股,-,已取消
01143.hk,中國儲能科技發展,23/06/25,0.33 / (1.5%),20.0%,0.395 / 19.7%,軟庫中華 & 駿達,普通授權,新股,未公佈,配股中
00377.hk,中國華君,23/06/25,1.0 / 0.0%,19.5%,1.14 / 14.0%,-,普通授權,新股,未公佈,配股中
02550.hk,宜搜科技,20/06/25,3.2 / (8.0%),17.4%,6.4 / 100.0%,中銀國際 & 麥格理 & 華福,普通授權,先舊後新,30/06/25,已完成
01783.hk,晉景新能,20/06/25,8.1 / (1.22%),0.897%,7.51 / (7.28%),-,普通授權,新股,08/07/25,已完成
00456.hk,新城市建設發展,18/06/25,0.442 / (4.95%),22.67%,0.5 / 13.12%,-,特別授權,新股,未公佈,配股中
00767.hk,中基長壽科學,17/06/25,0.34 / (19.43%),16.49%,0.5 / 47.06%,-,普通授權,新股,25/06/25,已完成
00145.hk,信能低碳,17/06/25,0.148 / (17.78%),20.0%,0.17 / 14.86%,盈立,普通授權,新股,未公佈,配股中
00036.hk,遠東控股國際,17/06/25,0.344 / (16.1%),20.0%,0.4 / 16.28%,金利豐,普通授權,新股,-,已取消
00767.hk,中基長壽科學,16/06/25,0.33 / (19.71%),16.99%,0.5 / 51.52%,-,普通授權,新股,-,已取消
08308.hk,古兜控股,16/06/25,0.058 / (6.45%),9.63%,0.05 / (13.79%),-,普通授權,新股,未公佈,配股中
01877.hk,君實生物,13/06/25,25.35 / (11.52%),18.7%,25.5 / 0.59%,瑞士銀行,普通授權,新股,20/06/25,已完成
00990.hk,榮暉國際,13/06/25,0.5 / (13.8%),6.1%,0.85 / 70.0%,-,普通授權,新股,27/06/25,已完成
01967.hk,信懇智能,13/06/25,0.27 / (19.4%),20.0%,0.435 / 61.11%,金利豐,普通授權,新股,23/06/25,已完成
02159.hk,麥迪衛康,13/06/25,0.4 / (9.09%),20.0%,1.07 / 167.5%,萬海,普通授權,新股,08/07/25,已完成
00770.hk,SHANGHAI GROWTH,13/06/25,0.195 / (18.75%),20.0%,0.37 / 89.74%,鼎石,普通授權,新股,04/07/25,已完成
09660.hk,地平線機器人－Ｗ,12/06/25,6.93 / (6.85%),5.2%,6.91 / (0.29%),高盛 & 摩根士丹利 & 瑞士銀行,普通授權,先舊後新,23/06/25,已完成
00854.hk,威雅利,12/06/25,2.66 / (18.4%),17.11%,18.5 / 595.49%,-,普通授權,新股,15/07/25,已完成
02246.hk,快狗打車,12/06/25,3.846 / (0.62%),4.93%,4.01 / 4.26%,-,普通授權,新股 - 代價發行,未公佈,配股中
08536.hk,TL NATURAL GAS,12/06/25,0.225 / (16.67%),16.0%,0.29 / 28.89%,艾德,普通授權,新股,27/06/25,已完成
02162.hk,康諾亞－Ｂ,11/06/25,45.48 / (6.52%),7.72%,56.2 / 23.57%,-,普通授權,先舊後新,19/06/25,已完成
08246.hk,中華燃氣,11/06/25,0.12 / 1.69%,4.96%,0.151 / 25.83%,-,普通授權,新股,未公佈,配股中
00931.hk,中國港能,10/06/25,0.25 / (1.96%),0.65%,0.25 / 0.0%,-,普通授權,新股,16/07/25,已完成
02465.hk,龍蟠科技,05/06/25,6.0 / (8.95%),20.0%,6.51 / 8.5%,國泰君安,普通授權,新股,12/06/25,已完成
06990.hk,科倫博泰生物－Ｂ,05/06/25,331.8 / (7.58%),2.6%,383.6 / 15.61%,高盛 & 花旗,普通授權,新股,12/06/25,已完成
01129.hk,中國水業集團,05/06/25,0.228 / (8.43%),10.0%,0.217 / (4.82%),金利豐,普通授權,新股,16/06/25,已完成
08340.hk,紫荊國際金融,05/06/25,0.19 / (17.75%),20.0%,0.28 / 47.37%,中天,普通授權,新股,26/06/25,已完成
01920.hk,中國網成,04/06/25,0.241 / (15.44%),20.0%,0.385 / 59.75%,阿仕特朗,普通授權,新股,24/06/25,已完成
06955.hk,博安生物,04/06/25,10.42 / (13.88%),7.17%,17.12 / 64.3%,瑞士銀行,普通授權,新股,11/06/25,已完成
08237.hk,華星控股,03/06/25,0.12 / (16.08%),20.0%,0.172 / 43.33%,駿達,普通授權,新股,18/06/25,已完成
00863.hk,ＯＳＬ集團,02/06/25,12.68 / 3.59%,1.48%,18.0 / 41.96%,-,普通授權,新股 - 代價發行,未公佈,配股中
08493.hk,龍皇集團,02/06/25,0.1 / 108.33%,20.0%,0.052 / (48.0%),日發,普通授權,新股,20/06/25,已完成
02255.hk,海昌海洋公園,02/06/25,0.45 / (46.43%),62.85%,0.76 / 68.89%,-,特別授權,新股,未公佈,配股中
01683.hk,曠逸國際,30/05/25,0.6 / (10.45%),9.07%,0.86 / 43.33%,中國北方,普通授權,新股,未公佈,配股中
01872.hk,冠轈控股,30/05/25,4.3 / 3.37%,19.99%,3.99 / (7.21%),富強,普通授權,新股,未公佈,配股中
00399.hk,領航醫藥生物科技,30/05/25,0.176 / (19.63%),7.55%,0.395 / 124.43%,-,普通授權,新股,-,已取消
02453.hk,美中嘉和,29/05/25,5.38 / (19.7%),7.54%,7.1 / 31.97%,國泰君安,普通授權,新股,04/06/25,已完成
01683.hk,曠逸國際,29/05/25,0.64 / (4.48%),10.93%,0.86 / 34.37%,-,普通授權,新股 - 代價發行,23/06/25,已完成
00399.hk,領航醫藥生物科技,29/05/25,0.175 / (17.84%),11.32%,0.395 / 125.71%,中國北方,普通授權,新股,未公佈,配股中
00769.hk,中國稀土,28/05/25,0.375 / (2.6%),16.7%,0.7 / 86.67%,-,普通授權,新股 - 代價發行,16/06/25,已完成
03738.hk,阜博集團,27/05/25,3.78 / (9.35%),5.96%,3.83 / 1.32%,中信,普通授權,新股,03/06/25,已完成
08403.hk,天平道合,27/05/25,1.14 / (18.57%),8.82%,1.54 / 35.09%,遠源,普通授權,新股,17/06/25,已完成
08403.hk,天平道合,27/05/25,1.14 / (18.57%),4.41%,1.54 / 35.09%,遠源,特別授權,新股,未公佈,配股中
00428.hk,中國天弓控股,26/05/25,0.17 / (6.08%),20.0%,0.206 / 21.18%,SFGHK,普通授權,新股,12/06/25,已完成
08455.hk,禮建德集團,26/05/25,0.045 / (19.64%),20.0%,0.066 / 46.67%,鼎石,普通授權,新股,19/06/25,已完成
02297.hk,潤邁德－Ｂ,26/05/25,0.163 / 7.95%,20.0%,0.203 / 24.54%,-,普通授權,新股,20/06/25,已完成
01247.hk,米格國際控股,26/05/25,1.35 / (15.32%),16.89%,1.79 / 32.59%,元宇宙,普通授權,新股,13/06/25,已完成
00673.hk,中國衛生集團,23/05/25,0.1 / (28.6%),142.4%,0.34 / 240.0%,-,特別授權,新股,未公佈,配股中
08471.hk,新達控股,23/05/25,0.1 / (18.03%),19.96%,0.098 / (2.0%),瑞邦,普通授權,新股,11/06/25,已完成
09995.hk,榮昌生物,22/05/25,42.44 / (9.51%),10.02%,68.55 / 61.52%,摩根士丹利 & 華泰金融,普通授權,新股,29/05/25,已完成
02149.hk,貝克微,21/05/25,40.0 / (10.41%),20.0%,60.0 / 50.0%,國泰君安,普通授權,新股,28/05/25,已完成
00899.hk,中加國信,20/05/25,0.1 / 7.53%,20.0%,0.64 / 540.0%,鼎石,普通授權,新股,11/06/25,已完成
02127.hk,匯森股份,19/05/25,0.027 / 22.7%,3.96%,0.02 / (25.93%),-,普通授權,新股,未公佈,配股中
02521.hk,升輝清潔,19/05/25,0.25 / (19.35%),11.05%,0.295 / 18.0%,元宇宙,普通授權,新股,16/06/25,已完成
01119.hk,創夢天地,16/05/25,0.72 / (14.29%),6.02%,0.83 / 15.28%,浦銀國際,普通授權,新股,23/05/25,已完成
03919.hk,金力集團,15/05/25,0.9 / (11.8%),20.0%,0.97 / 7.78%,-,普通授權,新股,05/06/25,已完成
00943.hk,中證國際,15/05/25,0.2 / 0.0%,78.7%,0.01 / (95.0%),-,特別授權,新股,15/07/25,已完成
02252.hk,微創機器人－Ｂ,14/05/25,15.5 / (13.79%),2.5%,18.2 / 17.42%,摩根大通 & 中金公司,普通授權,新股,21/05/25,已完成
06069.hk,盛業,13/05/25,11.99 / (6.91%),1.77%,14.02 / 16.93%,國泰君安,普通授權,新股,20/05/25,已完成
03681.hk,中國抗體－Ｂ,13/05/25,1.1 / (11.29%),10.33%,2.72 / 147.27%,-,普通授權,新股,29/05/25,已完成
08446.hk,耀星科技集團,13/05/25,0.137 / 11.38%,23.0%,0.117 / (14.6%),-,特別授權,新股,未公佈,配股中
02211.hk,大健康國際,13/05/25,0.08 / (1.23%),38.0%,1.4 / 1650.0%,-,特別授權,新股,未公佈,配股中
03666.hk,上海小南國,12/05/25,0.02 / (16.7%),20.0%,0.028 / 40.0%,建泉融資,普通授權,新股,09/06/25,已完成
01159.hk,智數科技集團,09/05/25,0.355 / (18.39%),19.99%,3.82 / 976.06%,路華 ,普通授權,新股,未公佈,配股中
09985.hk,衛龍美味,08/05/25,14.72 / (7.88%),3.4%,12.78 / (13.18%),瑞士銀行,普通授權,先舊後新,15/05/25,已完成
06181.hk,老鋪黃金,08/05/25,630.0 / (8.03%),3.19%,853.0 / 35.4%,中信建投 & 花旗,普通授權,新股,15/05/25,已完成
00613.hk,梧桐國際,08/05/25,0.5 / (20.0%),1.59%,2.28 / 356.0%,-,普通授權,新股 - 代價發行,未公佈,配股中
08176.hk,超人智能,07/05/25,0.12 / 0.0%,9.57%,0.096 / (20.0%),-,特別授權,新股,未公佈,配股中
09860.hk,艾迪康控股,06/05/25,6.58 / (12.15%),4.0%,7.3 / 10.94%,-,普通授權,新股 - 代價發行,未公佈,配股中
00030.hk,雲白國際,02/05/25,0.116 / (20.0%),20.0%,0.255 / 119.83%,民銀,普通授權,新股,22/05/25,已完成
03623.hk,中國金融發展,02/05/25,0.7 / (18.6%),13.94%,1.16 / 65.71%,帝國國際,普通授權,新股,26/05/25,已完成
00264.hk,中聯發展控股,02/05/25,1.78 / (6.32%),4.63%,1.44 / (19.1%),-,普通授權,新股,-,已取消
03680.hk,瑞和數智,02/05/25,0.301 / (18.65%),19.67%,1.24 / 311.96%,遠源,普通授權,新股,21/05/25,已完成
06610.hk,飛天雲動,30/04/25,0.201 / (19.6%),19.99%,0.255 / 26.87%,中國北方,普通授權,新股,19/05/25,已完成
03390.hk,滿貫集團,29/04/25,0.5 / 25.0%,11.75%,0.355 / (29.0%),-,普通授權,新股,22/05/25,已完成
01468.hk,京基金融國際,29/04/25,0.146 / (16.57%),40.62%,0.285 / 95.21%,-,特別授權,新股 - 代價發行,未公佈,配股中
02012.hk,陽光油砂,28/04/25,0.45 / 2.27%,55.55%,0.5 / 11.11%,-,特別授權,新股,未公佈,配股中
01011.hk,泰凌醫藥,28/04/25,0.45 / (22.41%),40.75%,0.54 / 20.0%,-,特別授權,新股 - 代價發行,未公佈,配股中
08472.hk,立高控股,28/04/25,0.27 / (12.9%),20.0%,0.38 / 40.74%,紫荊,普通授權,新股,19/05/25,已完成
08163.hk,聲揚集團,28/04/25,0.1 / 12.36%,14.89%,0.105 / 5.0%,-,普通授權,新股 - 代價發行,25/06/25,已完成
02522.hk,一脈陽光,25/04/25,20.0 / (14.89%),3.91%,14.78 / (26.1%),中信里昂 & 國泰君安 & TradeGo,普通授權,新股,06/05/25,已完成
01723.hk,恆月控股,24/04/25,4.01 / (19.8%),0.82%,4.06 / 1.25%,-,普通授權,新股,23/05/25,已完成
02330.hk,中國上城,22/04/25,0.1 / (20.0%),19.3%,0.093 / (7.0%),滙盈,普通授權,新股,未公佈,配股中
02330.hk,中國上城,22/04/25,0.105 / (16.0%),19.3%,0.093 / (11.43%),滙盈,普通授權,新股,14/05/25,已完成
00544.hk,大同集團,21/04/25,0.04801 / (19.98%),20.0%,0.079 / 64.55%,-,普通授權,新股,未公佈,配股中
03896.hk,金山雲,17/04/25,5.83 / (8.76%),8.4%,7.65 / 31.22%,-,特別授權,新股,17/06/25,已完成
02367.hk,巨子生物,17/04/25,66.65 / (9.5%),3.38%,59.95 / (10.05%),高盛,普通授權,先舊後新,28/04/25,已完成
02012.hk,陽光油砂,17/04/25,0.35 / 5.71%,16.67%,0.5 / 42.86%,-,普通授權,新股,未公佈,配股中
00476.hk,科軒動力控股,17/04/25,0.3 / 1.69%,13.5%,0.69 / 130.0%,-,普通授權,新股,09/05/25,已完成
00931.hk,中國港能,17/04/25,0.195 / 0.0%,10.76%,0.25 / 28.21%,-,特別授權,新股,未公佈,配股中
08246.hk,中華燃氣,16/04/25,0.119 / 0.0%,5.7%,0.151 / 26.89%,-,特別授權,新股,未公佈,配股中
00769.hk,中國稀土,16/04/25,0.32 / (16.9%),2.1%,0.7 / 118.75%,-,普通授權,新股,08/05/25,已完成
00970.hk,新耀萊,15/04/25,0.402 / (17.96%),20.0%,0.53 / 31.84%,申萬宏源,普通授權,新股,19/05/25,已完成
00464.hk,中國智能科技,14/04/25,0.22 / (18.52%),7.76%,0.485 / 120.45%,-,普通授權,新股,30/04/25,已完成
08196.hk,福田股份,11/04/25,0.26 / (14.75%),20.0%,1.17 / 350.0%,紫荊,普通授權,新股,07/05/25,已完成
00995.hk,安徽皖通高速公路,11/04/25,10.45 / (5.0%),10.14%,12.24 / 17.13%,-,普通授權,新股,09/06/25,已完成
01091.hk,南方錳業,11/04/25,0.21 / (13.58%),20.0%,0.3 / 42.86%,信誠,普通授權,新股,02/05/25,已完成
02309.hk,大象未來集團,11/04/25,1.86 / (19.83%),4.62%,2.17 / 16.67%,-,普通授權,新股,07/05/25,已完成
02309.hk,大象未來集團,11/04/25,1.86 / (19.83%),29.99%,2.17 / 16.67%,-,特別授權,新股,05/06/25,已完成
01783.hk,晉景新能,10/04/25,7.7 / 11.8%,0.33%,7.51 / (2.47%),-,普通授權,新股 - 代價發行,未公佈,配股中
01643.hk,現代中藥集團,09/04/25,0.27 / 3.85%,20.0%,0.74 / 174.07%,-,普通授權,新股,未公佈,配股中
00290.hk,國富量子,09/04/25,1.12 / (5.08%),5.0%,1.68 / 50.0%,富強,普通授權,新股,未公佈,配股中
01693.hk,璋利國際,09/04/25,1.2 / (8.4%),20.0%,2.66 / 121.67%,雅利多,普通授權,新股,02/05/25,已完成
08189.hk,泰達生物,08/04/25,0.375 / (13.79%),5.1%,0.47 / 25.33%,中泰國際,普通授權,新股,08/05/25,已完成
00340.hk,潼關黃金,08/04/25,0.69 / (19.8%),8.05%,2.08 / 201.45%,-,普通授權,新股,22/04/25,已完成
00575.hk,勵晶太平洋,07/04/25,0.485 / 0.0%,27.74%,0.86 / 77.32%,-,特別授權,新股,25/06/25,已完成
00484.hk,雲遊控股,03/04/25,0.61 / (12.86%),17.04%,0.82 / 34.43%,南華,普通授權,新股,未公佈,配股中
02616.hk,基石藥業－Ｂ,02/04/25,2.933 / (14.99%),6.23%,6.07 / 106.96%,摩根士丹利,普通授權,新股,10/04/25,已完成
01520.hk,天機控股,01/04/25,0.4 / (18.37%),18.61%,0.87 / 117.5%,萬海,普通授權,新股,28/04/25,已完成
01991.hk,大洋集團,01/04/25,0.1 / 21.95%,9.14%,0.69 / 590.0%,-,普通授權,新股,09/06/25,已完成
08619.hk,飲食天王（環球）,30/03/25,0.039 / (11.36%),8.54%,0.21 / 438.46%,瑞森港通,普通授權,新股,30/05/25,已完成
00707.hk,亞洲電視控股,28/03/25,0.08 / (4.76%),13.33%,0.068 / (15.0%),亞太,普通授權,新股,08/05/25,已完成
01810.hk,小米集團－Ｗ,25/03/25,53.25 / (6.6%),3.2%,56.45 / 6.01%,-,普通授權,先舊後新,31/03/25,已完成
01818.hk,招金礦業,24/03/25,14.16 / (5.85%),5.11%,20.65 / 45.83%,-,普通授權,新股,31/03/25,已完成
02142.hk,和鉑醫藥－Ｂ,21/03/25,10.74 / 37.2%,9.15%,8.15 / (24.12%),-,普通授權,新股,08/04/25,已完成
08292.hk,盛良物流,21/03/25,0.157 / (19.9%),41.8%,0.59 / 275.8%,-,特別授權,新股 - 代價發行,未公佈,配股中
08176.hk,超人智能,20/03/25,0.174 / 1.16%,7.5%,0.096 / (44.83%),-,普通授權,新股,07/04/25,已完成
08403.hk,天平道合,19/03/25,1.0 / (9.91%),7.09%,1.54 / 54.0%,-,普通授權,新股,09/04/25,已完成
01466.hk,佰金生命科學,18/03/25,0.48 / (4.0%),9.24%,0.67 / 39.58%,-,普通授權,新股,03/04/25,已完成
01421.hk,恒昌集團國際,18/03/25,0.2 / (9.91%),17.65%,0.56 / 180.0%,宏智,普通授權,新股,08/04/25,已完成
01782.hk,國際商業數字技術,17/03/25,3.95 / (4.13%),1.31%,3.4 / (13.92%),-,普通授權,新股,09/04/25,已完成
01949.hk,佰達國際控股,17/03/25,0.08 / (2.44%),17.65%,0.114 / 42.5%,富中,普通授權,新股,02/04/25,已完成
01872.hk,冠轈控股,17/03/25,0.73 / (18.89%),4.0%,3.99 / 446.58%,帝國國際,普通授權,新股,08/04/25,已完成
01870.hk,益美國際控股,17/03/25,0.138 / (19.77%),20.0%,0.223 / 61.59%,源盛,普通授權,新股,08/04/25,已完成
01870.hk,益美國際控股,17/03/25,0.138 / (19.77%),35.26%,0.223 / 61.59%,源盛,特別授權,新股,26/06/25,已完成
06696.hk,多想雲,14/03/25,3.1 / (13.89%),17.65%,0.73 / (76.45%),-,普通授權,新股,24/03/25,已完成
02362.hk,金川國際,13/03/25,0.628 / (13.97%),5.04%,0.64 / 1.91%,中金,普通授權,先舊後新,25/03/25,已完成
08645.hk,比特元宇宙,12/03/25,0.41 / (19.61%),5.56%,0.56 / 36.59%,美建,普通授權,新股,26/03/25,已完成
09958.hk,力天影業,11/03/25,0.1 / (4.8%),20.0%,0.098 / (2.0%),紫荊融資,普通授權,新股,未公佈,配股中
08482.hk,萬勵達,11/03/25,0.136 / (20.0%),20.0%,0.183 / 34.56%,鼎石,普通授權,新股,31/03/25,已完成
03311.hk,中國建築國際,11/03/25,12.26 / 0.49%,4.86%,11.7 / (4.57%),-,普通授權,新股,14/03/25,已完成
03330.hk,靈寶黃金,11/03/25,5.38 / (12.38%),4.1%,9.64 / 79.18%,國泰君安,普通授權,新股,18/03/25,已完成
02429.hk,友寶在線,07/03/25,3.01 / (14.97%),7.36%,3.45 / 14.62%,麥格理,普通授權,新股,14/03/25,已完成
00340.hk,潼關黃金,07/03/25,0.5 / (16.67%),19.65%,2.08 / 316.0%,-,特別授權,新股 - 代價發行,未公佈,配股中
01575.hk,皇庭智家,07/03/25,0.051 / (15.0%),20.0%,0.06 / 17.65%,力高,普通授權,新股,19/03/25,已完成
00515.hk,中華銀科技,07/03/25,0.1 / 23.46%,19.94%,0.415 / 315.0%,-,特別授權,新股,未公佈,配股中
01211.hk,比亞迪股份,04/03/25,335.2 / (11.8%),4.46%,123.8 / (63.07%),高盛 & 瑞士銀行 & 中信里昂,普通授權,新股,11/03/25,已完成
06660.hk,艾美疫苗,28/02/25,5.01 / (19.97%),3.15%,3.95 / (21.16%),星展亞洲,普通授權,新股,未公佈,配股中
00339.hk,中國科創產業投資,28/02/25,0.17 / (10.53%),19.79%,0.152 / (10.59%),滿好,普通授權,新股,-,已取消
00572.hk,未來世界控股,27/02/25,0.52 / 11.8%,8.3%,0.6 / 15.38%,-,普通授權,新股 - 代價發行,01/04/25,已完成
02498.hk,速騰聚創,26/02/25,46.15 / (8.43%),4.89%,32.4 / (29.79%),國泰君安 & 未來資產,普通授權,新股,05/03/25,已完成
01865.hk,鵬高控股集團,25/02/25,0.2 / (16.3%),4.0%,0.28 / 40.0%,-,普通授權,新股,19/03/25,已完成
01762.hk,萬咖壹聯,24/02/25,0.177 / (18.06%),19.66%,0.76 / 329.38%,國元國際,普通授權,新股,20/03/25,已完成
02556.hk,邁富時,21/02/25,60.0 / (11.57%),8.51%,52.5 / (12.5%),國泰君安 & 華泰 & 招銀國際 & 建銀國際,普通授權,新股,28/02/25,已完成
08195.hk,傳承教育集團,21/02/25,1.42 / (15.48%),4.8%,1.39 / (2.11%),遠源,普通授權,新股,19/03/25,已完成
08198.hk,加幂科技,21/02/25,0.305 / (19.7%),20.0%,3.09 / 913.11%,力高,普通授權,新股,未公佈,配股中
00264.hk,中聯發展控股,21/02/25,1.78 / (19.46%),7.1%,1.44 / (19.1%),-,普通授權,新股,18/03/25,已完成
00875.hk,從玉智農,21/02/25,0.56 / (20.0%),20.0%,0.216 / (61.43%),-,普通授權,新股,18/03/25,已完成
09880.hk,優必選,20/02/25,90.0 / (8.54%),2.35%,84.05 / (6.61%),國泰君安 & 中信里昂 & TradeGo,普通授權,新股,27/02/25,已完成
08093.hk,瓦普思瑞元宇宙,20/02/25,0.07 / 1.45%,20.0%,0.162 / 131.43%,-,普通授權,新股,10/03/25,已完成
02533.hk,黑芝麻智能,19/02/25,23.2 / (11.79%),9.35%,18.3 / (21.12%),中國國際金融 & 華泰,普通授權,新股,26/02/25,已完成
