"代號","名稱","公佈日期","要約價 /溢價(折讓)","現價 /溢價(折讓)","出售股份","新主","開始接納","最後接納","公佈三年","狀態"
00659.hk,周大福創建,27/06/23,9.15 /14.5%,7.57 /(17.27%),-,Century Acquisition Limited (新世界發展 HKEX: 17),13/10/23,13/11/23,13/11/26,要約完成
08350.hk,立橋證券控股,26/06/23,0.0661 /(71.26%),0.2 /202.57%,-,立橋金融科技控股有限公司 (許楚家 & 詹美清),23/11/23,14/12/23,14/12/26,要約完成
00383.hk,天安卓健,16/06/23,0.89 /(1.11%),1.1 /23.6%,-,Fareast Global Limited (天安中國投資有限公司 HKEX: 28),31/08/23,05/10/23,05/10/26,要約完成
03608.hk,永盛新材料,08/06/23,1.0 /58.7%,0.99 /(1.0%),-,和安創投有限公司,31/08/23,05/10/23,05/10/26,要約完成
02188.hk,泰坦能源技術,11/05/23,0.34 /4.62%,0.29 /(14.71%),-,唐山國控科技創新投資集團有限公司,24/05/23,14/06/23,14/06/26,全購取消
03948.hk,伊泰煤炭,09/05/23,17.5 /8.97%,17.4 /(0.57%),-,N/A,未公佈,未公佈,-,待公佈
02278.hk,海藍控股,08/05/23,3.36 /5.0%,3.36 /(-0.0%),-,中嘉 (國際) 投資建設有限公司 (楊敏),12/06/23,17/07/23,17/07/26,要約完成
01481.hk,竣球控股,27/04/23,0.2614 /(17.02%),0.495 /89.36%,73.53%,TeraMetal Holdings Limited (吳浩麟),30/05/23,20/06/23,20/06/26,要約完成
03889.hk,大成玉米集團,10/04/23,0.06 /(30.2%),0.107 /78.33%,47.0%,孔展鵬 & 王鐵光 ,27/12/23,17/01/24,17/01/27,要約完成
02360.hk,優品３６０,27/03/23,1.76 /(29.32%),1.94 /10.23%,-,海富創投有限公司 (許毅芬),11/08/23,11/08/23,11/08/26,要約完成
00278.hk,華廈置業,13/03/23,6.0 /36.36%,3.95 /(34.17%),-,高偉發展有限公司 (鍾棋偉 & 鍾仁偉 & 鍾英偉),26/04/23,23/05/23,23/05/26,要約完成
08237.hk,華星控股,24/02/23,0.0195 /(45.8%),0.172 /782.05%,45.37%,Ace Kingdom Enterprises Corporation (Boomerang Investment & 郭二澈 & Billion Supreme),16/03/23,05/05/23,05/05/26,要約完成
08402.hk,高原之寶,23/02/23,0.229 /(89.4%),0.106 /(53.71%),69.23%,萬寶國際控股有限公司 (張璋 & 李荷良 & 王建東),13/04/23,04/05/23,04/05/26,要約完成
08137.hk,洪橋集團,12/01/23,0.08 /(77.5%),0.54 /575.0%,-,吉利集團有限公司 (李書福),23/02/23,16/03/23,16/03/26,要約完成
00924.hk,坤集團,19/12/22,0.278 /(43.84%),0.4 /43.88%,55.0%,Southern Heritage Limited (陳志),03/02/23,24/02/23,24/02/26,要約完成
00211.hk,STYLAND HOLD,16/12/22,0.088 /29.41%,0.29 /229.55%,-,Kenvonia Family Limited (張浩宏 & 張洛芝 & 張浩然),20/01/23,17/02/23,17/02/26,要約完成
06669.hk,先瑞達醫療－Ｂ,12/12/22,20.0 /31.6%,12.0 /(40.0%),65.0%,Boston Scientific Corporation,03/01/23,09/02/23,09/02/26,要約完成
01899.hk,興達國際,07/12/22,1.88 /24.5%,1.21 /(35.64%),-,Great Trade (劉錦蘭) & In-Plus (劉祥) & Power Aim (張宇曉) & Wise Creative (杭友明) & Widen Success (劉濤),27/01/23,10/03/23,10/03/26,要約完成
01783.hk,晉景新能,30/11/22,0.28 /(44.0%),7.51 /2582.14%,37.62%,晋業國際投資有限公司 (郭晋昇),21/12/22,11/01/23,11/01/26,要約完成
